yr,netMig,netMigF,netMigM
2004,138797,70238,68559
2005,157183,81215,75968
2006,197488,99159,98329
2007,244030,117714,126316
2008,315687,149948,165739
2009,246900,124262,122638
2010,172038,92194,79844
2011,205679,107383,98296
2012,237436,120044,117392
2013,231571,120321,111250
