n14
146160
151826
150860
145887
148263
147713
147180
144577
144599
139660
137398
136378
135887
137570
138443
139041
139281
142423
144702
151442
152388
154925
159124
167430
172953
171287
171572
172718
175146
177264
176076
176097
170639
167526
161955
158492
155566
155109
155207
157636
161300
165672
172844
175811
165234
163041
156105
152594
152213
153888
157690
159803
159209
159042
153982
150923
147771
144056
141504
138033
133863
131928
126931
125103
122504
118474
118886
123151
103919
100244
95433
86104
83785
77851
74643
71300
67127
63972
62014
57997
54385
52266
49609
49390
46612
42920
39920
36150
32516
28743
24758
20772
17534
14204
10388
6673
5163
3851
2828
2047
3163
